width,lr,weight_decay,x_low,x_high,data_pressure,loss_low,loss_high
32,0.003,0.0,8192.0,50000.0,0.09497922949087993,0.33518935546875,0.16338475748697914
32,0.003,1e-06,8192.0,50000.0,0.09497922949087993,0.33518935546875,0.16338475748697914
32,0.003,3e-06,8192.0,50000.0,0.09497922949087993,0.33518935546875,0.16338475748697914
32,0.003,1e-05,8192.0,50000.0,0.0950247708308921,0.3351898518880208,0.16330287577311198
32,0.003,3e-05,8192.0,50000.0,0.09504266209169587,0.3351900085449219,0.16327066955566408
32,0.003,0.0001,8192.0,50000.0,0.09503640852973765,0.3351920064290364,0.16328397928873697
32,0.003,0.0003,8192.0,50000.0,0.09502575273009885,0.33519598592122396,0.16330723368326824
32,0.003,0.001,8192.0,50000.0,0.0951398211869143,0.3352103210449218,0.163115234375
32,0.003,0.003,8192.0,50000.0,0.09501079423238976,0.3352377034505209,0.1633760091145833
32,0.003,0.01,8192.0,50000.0,0.09503214575998561,0.3352861063639323,0.1633857899983724
32,0.003,0.03,8192.0,50000.0,0.09520352035143242,0.33567026367187497,0.16345995381673176
45,0.003,0.0,8192.0,50000.0,0.08728438346409159,0.3005252624511719,0.1426396016438802
45,0.003,1e-06,8192.0,50000.0,0.08728438346409159,0.3005252624511719,0.1426396016438802
45,0.003,3e-06,8192.0,50000.0,0.08728438346409159,0.3005252624511719,0.1426396016438802
45,0.003,1e-05,8192.0,50000.0,0.08739929744522396,0.3005256184895833,0.14243209381103517
45,0.003,3e-05,8192.0,50000.0,0.08709354494223528,0.30052575480143234,0.14298529510498045
45,0.003,0.0001,8192.0,50000.0,0.08735639812266499,0.3005264811197917,0.14251055552164713
45,0.003,0.0003,8192.0,50000.0,0.0873123833378628,0.3005290466308594,0.14259273783365886
45,0.003,0.001,8192.0,50000.0,0.08730071161559111,0.3005406534830729,0.14262545725504558
45,0.003,0.003,8192.0,50000.0,0.0876200048798055,0.30055393676757813,0.1420611821492513
45,0.003,0.01,8192.0,50000.0,0.08745808514541098,0.30065511067708334,0.1424552469889323
45,0.003,0.03,8192.0,50000.0,0.0876022007864571,0.3009417175292969,0.14248116811116537
64,0.003,0.0,8192.0,50000.0,0.08432069898004188,0.27953824462890625,0.12701348876953125
64,0.003,1e-06,8192.0,50000.0,0.08432069898004188,0.27953824462890625,0.12701348876953125
64,0.003,3e-06,8192.0,50000.0,0.08432069898004188,0.27953824462890625,0.12701348876953125
64,0.003,1e-05,8192.0,50000.0,0.08422822752562399,0.27953843485514324,0.12718094736735028
64,0.003,3e-05,8192.0,50000.0,0.0842993173656146,0.27954181620279944,0.1270557367960612
64,0.003,0.0001,8192.0,50000.0,0.08420265006355554,0.2795423675537109,0.12723114624023438
64,0.003,0.0003,8192.0,50000.0,0.08427629278524663,0.27954340413411455,0.12709897308349608
64,0.003,0.001,8192.0,50000.0,0.08435007919264643,0.2795452158610026,0.1269673151652018
64,0.003,0.003,8192.0,50000.0,0.08442068933044727,0.27958853963216146,0.12688291473388671
64,0.003,0.01,8192.0,50000.0,0.08382602704514128,0.27962981363932293,0.1279998524983724
64,0.003,0.03,8192.0,50000.0,0.0846228523106806,0.27985989074707035,0.12678858032226561
91,0.003,0.0,8192.0,50000.0,0.07598652212723023,0.2658309173583984,0.12838156178792318
91,0.003,1e-06,8192.0,50000.0,0.07598652212723023,0.2658309173583984,0.12838156178792318
91,0.003,3e-06,8192.0,50000.0,0.07598652212723023,0.2658309173583984,0.12838156178792318
91,0.003,1e-05,8192.0,50000.0,0.07573694595617736,0.2658311075846354,0.1288332015991211
91,0.003,3e-05,8192.0,50000.0,0.07621863528275193,0.26583112589518226,0.12796190897623697
91,0.003,0.0001,8192.0,50000.0,0.07652637520372271,0.26583218383789065,0.12740630696614583
91,0.003,0.0003,8192.0,50000.0,0.0764376918782032,0.26583350931803384,0.12756804860432944
91,0.003,0.001,8192.0,50000.0,0.0763339280205371,0.2658319081624349,0.12775414225260417
91,0.003,0.003,8192.0,50000.0,0.07604996007056762,0.2658547231038411,0.12829061686197915
91,0.003,0.01,8192.0,50000.0,0.07646621813093063,0.2658343404134115,0.1275172795613607
91,0.003,0.03,8192.0,50000.0,0.07656954811961737,0.2660117055257161,0.12750773468017576
128,0.003,0.0,8192.0,50000.0,0.0711691829015355,0.24872291768391927,0.119987478129069
128,0.003,1e-06,8192.0,50000.0,0.0711691829015355,0.24872291768391927,0.119987478129069
128,0.003,3e-06,8192.0,50000.0,0.0711691829015355,0.24872291768391927,0.119987478129069
128,0.003,1e-05,8192.0,50000.0,0.07147680950481429,0.24872639770507812,0.11943450317382813
128,0.003,3e-05,8192.0,50000.0,0.0713756899140841,0.24872637532552086,0.11961739247639974
128,0.003,0.0001,8192.0,50000.0,0.07140156149601799,0.2487260569254557,0.11957027587890624
128,0.003,0.0003,8192.0,50000.0,0.07158049069399051,0.24871788533528646,0.11923844553629558
128,0.003,0.001,8192.0,50000.0,0.07261620821240991,0.24872935078938804,0.11737643788655598
128,0.003,0.003,8192.0,50000.0,0.0721019323168005,0.248746977742513,0.11832432047526042
128,0.003,0.01,8192.0,50000.0,0.07217916774357881,0.2487354970296224,0.11817313130696615
128,0.003,0.03,8192.0,50000.0,0.07158688316150653,0.248751860555013,0.11926085764567058
181,0.003,0.0,8192.0,50000.0,0.07102355813877043,0.24268660990397137,0.11421458587646484
181,0.003,1e-06,8192.0,50000.0,0.07102355813877043,0.24268660990397137,0.11421458587646484
181,0.003,3e-06,8192.0,50000.0,0.07102355813877043,0.24268660990397137,0.11421458587646484
181,0.003,1e-05,8192.0,50000.0,0.07122423927226275,0.24268612467447914,0.11385109558105468
181,0.003,3e-05,8192.0,50000.0,0.07139601286570683,0.2426860850016276,0.11354034067789713
181,0.003,0.0001,8192.0,50000.0,0.07152974742519115,0.2426829060872396,0.11329525400797526
181,0.003,0.0003,8192.0,50000.0,0.07228224747731311,0.24268094787597658,0.11193212483723958
181,0.003,0.001,8192.0,50000.0,0.07232461901498921,0.24267222696940105,0.11184675954182943
181,0.003,0.003,8192.0,50000.0,0.07205715580091268,0.2426606689453125,0.11231900634765625
181,0.003,0.01,8192.0,50000.0,0.07174504344790732,0.2426690694173177,0.11289197591145833
181,0.003,0.03,8192.0,50000.0,0.07188892401800934,0.24256175333658855,0.11252439931233725
