family,strategy,n_train,width,params,lr,weight_decay,step,epochs,examples_seen,train_loss,train_acc,val_loss,val_acc,l2_norm_sq,regularizer_loss,train_total_loss_reported,val_total_loss_reported,train_loss_std,train_acc_std,val_loss_std,val_acc_std,l2_norm_sq_std,regularizer_loss_std,train_total_loss_reported_std,val_total_loss_reported_std,seed_count
mnist_mlp,scratch,8192,32,6634,0.003,0.0,96,3.0,24576,0.29549740254879,0.9123128255208334,0.33518935546875,0.8994666666666666,83.28203814228375,0.0,0.29549740254879,0.33518935546875,0.0035355254529253876,0.0007458619295175491,0.006673223793897503,0.003817503547258811,2.9752342630058806,0.0,0.0035355254529253876,0.006673223793897503,3
mnist_mlp,scratch,8192,32,6634,0.003,1e-06,96,3.0,24576,0.29549740254879,0.9123128255208334,0.33518935546875,0.8994666666666666,83.28203814228375,4.164101907114188e-05,0.2955390435678611,0.3352309964878211,0.0035355254529253876,0.0007458619295175491,0.006673223793897503,0.003817503547258811,2.9752342630058806,1.4876171315029427e-06,0.0035341477420946553,0.006671873325570204,3
mnist_mlp,scratch,8192,32,6634,0.003,3e-06,96,3.0,24576,0.29549740254879,0.9123128255208334,0.33518935546875,0.8994666666666666,83.28203814228375,0.00012492305721342563,0.2956223256060034,0.33531427852596346,0.0035355254529253876,0.0007458619295175672,0.006673223793897516,0.003817503547258806,2.9752342630058806,4.46285139450882e-06,0.0035313925879630185,0.0066691725640078275,3
mnist_mlp,scratch,8192,32,6634,0.003,1e-05,96,3.0,24576,0.2954983611901601,0.9123128255208334,0.3351898518880208,0.8994666666666666,83.2814448227485,0.0004164072241137425,0.29591476841427383,0.33560625911213454,0.0035355225157791947,0.00074586192951754,0.006673220246041761,0.0038175035472588323,2.975220758605298,1.4876103793026485e-05,0.0035217496036871834,0.006659718348200528,3
mnist_mlp,scratch,8192,32,6634,0.003,3e-05,96,3.0,24576,0.29549867908159894,0.9123128255208334,0.3351900085449219,0.8994666666666666,83.28126409401496,0.0012492189614102245,0.29674789804300916,0.3364392275063321,0.0035355168756625592,0.00074586192951754,0.006673220153827175,0.0038175035472588323,2.9752026351557515,4.4628039527336245e-05,0.00349422569810758,0.006632732382102423,3
mnist_mlp,scratch,8192,32,6634,0.003,0.0001,96,3.0,24576,0.2954995930194855,0.9123128255208334,0.3351920064290364,0.8994,83.2795551692446,0.004163977758462231,0.29966357077794775,0.3393559841874987,0.0035373417231526504,0.0007458619295175672,0.006672063700785624,0.003704051835490407,2.974674365636703,0.000148733718281835,0.0034000405862684093,0.0065373434516396035,3
mnist_mlp,scratch,8192,32,6634,0.003,0.0003,96,3.0,24576,0.2955065642793973,0.9123128255208334,0.33519598592122396,0.8994,83.27551530053218,0.012491327295079827,0.30799789157447716,0.3476873132163038,0.0035378351015864003,0.0007458619295175672,0.006672686722684224,0.003704051835490407,2.9744882344461856,0.00044617323516692837,0.0031291427752678817,0.0062704829680148445,3
mnist_mlp,scratch,8192,32,6634,0.003,0.001,96,3.0,24576,0.2955298547943433,0.9122721354166666,0.3352103210449218,0.8994,83.26144178460042,0.04163072089230021,0.33716057568664354,0.37684104193722207,0.003539191131041414,0.0008127841941503283,0.006674061079910721,0.0037040518354904176,2.973902308718759,0.0014869511543593795,0.0022343247953481053,0.005360980849331259,3
mnist_mlp,scratch,8192,32,6634,0.003,0.003,96,3.0,24576,0.29561155537764233,0.9123128255208334,0.3352377034505209,0.8992,83.22051272789638,0.12483076909184458,0.42044232446948687,0.4600684725423654,0.003512828697239642,0.0009243014885742535,0.006648462067460441,0.003994996871087661,2.97380891086031,0.004460713366290471,0.001805175825088173,0.003205519353476746,3
mnist_mlp,scratch,8192,32,6634,0.003,0.01,96,3.0,24576,0.29579684138298035,0.9124755859375,0.3352861063639323,0.8988,83.06549743562937,0.4153274871781469,0.7111243285611272,0.7506135935420791,0.003552399671242179,0.0008544921875,0.006684501359087472,0.0035156791662493856,2.9579254219997315,0.01478962710999867,0.011588212264448335,0.00920340114779422,3
mnist_mlp,scratch,8192,32,6634,0.003,0.03,96,3.0,24576,0.29649222642183304,0.9124755859375,0.33567026367187497,0.8986666666666666,82.6604507441322,1.239906761161983,1.536398987583816,1.5755770248338579,0.003568121884238554,0.0007425247229367944,0.006731151509319875,0.0034195516275285598,2.9342014747139236,0.04401302212070886,0.04078696560276081,0.038044912357916336,3
mnist_mlp,scratch,8192,45,9325,0.003,0.0,96,3.0,24576,0.25751272837320965,0.9224853515625,0.3005252624511719,0.9094666666666668,94.07332842051983,0.0,0.25751272837320965,0.3005252624511719,0.004141692462126013,0.0010849846700824693,0.00464992619551308,0.0020428737928059604,3.3650693227004185,0.0,0.004141692462126013,0.00464992619551308,3
mnist_mlp,scratch,8192,45,9325,0.003,1e-06,96,3.0,24576,0.25751272837320965,0.9224853515625,0.3005252624511719,0.9094666666666668,94.07332842051983,4.703666421025991e-05,0.2575597650374199,0.30057229911538214,0.004141692462126013,0.0010849846700824693,0.00464992619551308,0.0020428737928059604,3.3650693227004185,1.682534661350206e-06,0.00414170078609102,0.0046511258112355985,3
mnist_mlp,scratch,8192,45,9325,0.003,3e-06,96,3.0,24576,0.25751272837320965,0.9224853515625,0.3005252624511719,0.9094666666666668,94.07332842051983,0.00014110999263077973,0.25765383836584044,0.3006663724438026,0.004141692462126013,0.0010849846700824693,0.00464992619551308,0.0020428737928059604,3.3650693227004185,5.047603984050632e-06,0.004141719484513093,0.004653525939964845,3
