family,strategy,seed,n_train,width,params,lr,weight_decay,step,epochs,examples_seen,train_loss,train_acc,val_loss,val_acc,l2_norm_sq,regularizer_loss,train_total_loss_reported,val_total_loss_reported,elapsed_s
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0,32,1.0,8192,0.6751579493284225,0.8238525390625,0.6797016967773437,0.8284,40.86233785748482,0.0,0.6751579493284225,0.6797016967773437,0.054291266000291216
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0,40,1.25,10240,0.5463097840547562,0.8477783203125,0.5557416015625,0.85,49.826024763286114,0.0,0.5463097840547562,0.5557416015625,0.07012929200027429
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0,64,2.0,16384,0.37899966537952423,0.8909912109375,0.405033349609375,0.8832,68.0242712199688,0.0,0.37899966537952423,0.405033349609375,0.10916213400014385
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0,90,2.8125,23040,0.3060503154993057,0.907958984375,0.3431819763183594,0.896,79.69324968010187,0.0,0.3060503154993057,0.3431819763183594,0.1509962500003894
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0,96,3.0,24576,0.29571186006069183,0.9114990234375,0.3352398620605469,0.8966,81.82095765322447,0.0,0.29571186006069183,0.3352398620605469,0.1636674139999741
mnist_mlp,scratch,0,8192,32,6634,0.003,1e-06,32,1.0,8192,0.6751579493284225,0.8238525390625,0.6797016967773437,0.8284,40.86233785748482,2.043116892874241e-05,0.6751783804973512,0.6797221279462724,0.05354997900030867
mnist_mlp,scratch,0,8192,32,6634,0.003,1e-06,40,1.25,10240,0.5463097840547562,0.8477783203125,0.5557416015625,0.85,49.826024763286114,2.4913012381643057e-05,0.5463346970671378,0.5557665145748816,0.06928022800002509
mnist_mlp,scratch,0,8192,32,6634,0.003,1e-06,64,2.0,16384,0.37899966537952423,0.8909912109375,0.405033349609375,0.8832,68.0242712199688,3.4012135609984395e-05,0.3790336775151342,0.405067361744985,0.11081514400029846
mnist_mlp,scratch,0,8192,32,6634,0.003,1e-06,90,2.8125,23040,0.3060503154993057,0.907958984375,0.3431819763183594,0.896,79.69324968010187,3.9846624840050934e-05,0.3060901621241458,0.3432218229431995,0.15473937000024307
mnist_mlp,scratch,0,8192,32,6634,0.003,1e-06,96,3.0,24576,0.29571186006069183,0.9114990234375,0.3352398620605469,0.8966,81.82095765322447,4.091047882661223e-05,0.29575277053951843,0.3352807725393735,0.16797149400008493
mnist_mlp,scratch,0,8192,32,6634,0.003,3e-06,32,1.0,8192,0.6751579493284225,0.8238525390625,0.6797016967773437,0.8284,40.86233785748482,6.129350678622723e-05,0.6752192428352087,0.6797629902841299,0.05378381999980775
mnist_mlp,scratch,0,8192,32,6634,0.003,3e-06,40,1.25,10240,0.5463097840547562,0.8477783203125,0.5557416015625,0.85,49.826024763286114,7.473903714492917e-05,0.5463845230919011,0.5558163405996449,0.07032251400050882
mnist_mlp,scratch,0,8192,32,6634,0.003,3e-06,64,2.0,16384,0.37899966537952423,0.8909912109375,0.405033349609375,0.8832,68.0242712199688,0.0001020364068299532,0.37910170178635416,0.4051353860162049,0.11248748199977854
mnist_mlp,scratch,0,8192,32,6634,0.003,3e-06,90,2.8125,23040,0.3060503154993057,0.907958984375,0.3431819763183594,0.896,79.69324968010187,0.00011953987452015281,0.3061698553738259,0.3433015161928796,0.1564631540004484
mnist_mlp,scratch,0,8192,32,6634,0.003,3e-06,96,3.0,24576,0.29571186006069183,0.9114990234375,0.3352398620605469,0.8966,81.82095765322447,0.0001227314364798367,0.2958345914971717,0.33536259349702674,0.17076766599984694
mnist_mlp,scratch,0,8192,32,6634,0.003,1e-05,32,1.0,8192,0.6751592606306076,0.8238525390625,0.6797029541015625,0.8284,40.86220636963844,0.00020431103184819223,0.6753635716624558,0.6799072651334106,0.052131557000393514
mnist_mlp,scratch,0,8192,32,6634,0.003,1e-05,40,1.25,10240,0.5463109612464905,0.8477783203125,0.5557426513671875,0.85,49.8258455991745,0.0002491292279958725,0.5465600904744864,0.5559917805951834,0.07022811800015916
mnist_mlp,scratch,0,8192,32,6634,0.003,1e-05,64,2.0,16384,0.37900058180093765,0.8909912109375,0.40503397216796877,0.8832,68.0239217877388,0.000340119608938694,0.37934070140987636,0.4053740917769075,0.11076986900025076
mnist_mlp,scratch,0,8192,32,6634,0.003,1e-05,90,2.8125,23040,0.3060511648654938,0.907958984375,0.3431824462890625,0.896,79.6927061676979,0.0003984635308384896,0.3064496283963323,0.343580909819901,0.15316983200045797
mnist_mlp,scratch,0,8192,32,6634,0.003,1e-05,96,3.0,24576,0.29571275413036346,0.9114990234375,0.33524027099609377,0.8966,81.82035947591066,0.0004091017973795534,0.29612185592774304,0.33564937279347334,0.1671371080001336
mnist_mlp,scratch,0,8192,32,6634,0.003,3e-05,32,1.0,8192,0.6751597076654434,0.8238525390625,0.6797034301757813,0.8284,40.86216067522764,0.0006129324101284147,0.6757726400755718,0.6803163625859097,0.05448131499997544
mnist_mlp,scratch,0,8192,32,6634,0.003,3e-05,40,1.25,10240,0.5463113486766815,0.8477783203125,0.5557430053710938,0.85,49.825781144201756,0.0007473867171630264,0.5470587353938445,0.5564903920882568,0.07105637199947523
mnist_mlp,scratch,0,8192,32,6634,0.003,3e-05,64,2.0,16384,0.3790008872747421,0.8909912109375,0.40503419189453127,0.8832,68.0238142311573,0.0010203572134673596,0.3800212444882095,0.40605454910799865,0.10929645099986374
mnist_mlp,scratch,0,8192,32,6634,0.003,3e-05,90,2.8125,23040,0.30605142563581467,0.907958984375,0.3431825927734375,0.896,79.69254556298256,0.0011953881834447385,0.3072468138192594,0.3443779809568822,0.15132634499968844
mnist_mlp,scratch,0,8192,32,6634,0.003,3e-05,96,3.0,24576,0.29571302980184555,0.9114990234375,0.33524041137695315,0.8966,81.82018814235926,0.0012273028221353888,0.29694033262398095,0.33646771419908855,0.16537737699945865
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0001,32,1.0,8192,0.675162672996521,0.8238525390625,0.6797061645507813,0.8284,40.86187221109867,0.0020430936105549336,0.6772057666070759,0.6817492581613361,0.051882858000681153
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0001,40,1.25,10240,0.5463139563798904,0.8477783203125,0.5557453125,0.85,49.825377620756626,0.0024912688810378313,0.5488052252609282,0.5582365813810378,0.06901204600035271
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0001,64,2.0,16384,0.3790028914809227,0.8909912109375,0.40503567504882815,0.8832,68.02305543422699,0.0034011527717113495,0.382404044252634,0.40843682782053947,0.1082616860003327
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0001,90,2.8125,23040,0.3060533106327057,0.907958984375,0.34318358154296874,0.896,79.69135513156652,0.0039845677565783265,0.31003787838928404,0.3471681492995471,0.1533304690001387
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0001,96,3.0,24576,0.29571496695280075,0.9114990234375,0.3352413452148437,0.8966,81.81889769434929,0.004090944884717464,0.2998059118375182,0.3393322900995612,0.1665258190005261
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0003,32,1.0,8192,0.6751718670129776,0.8238525390625,0.6797148193359375,0.8284,40.86095476150513,0.006129143214225768,0.6813010102272034,0.6858439625501632,0.04559437100033392
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0003,40,1.25,10240,0.5463220477104187,0.8477783203125,0.55575263671875,0.85,49.8241316601634,0.00747361974902451,0.5537956674594432,0.5632262564677745,0.060588772000301105
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0003,64,2.0,16384,0.3790092095732689,0.8909912109375,0.4050402160644531,0.8832,68.0206865221262,0.010203102978318928,0.38921231255158784,0.41524331904277206,0.09645098999953916
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0003,90,2.8125,23040,0.30605920404195786,0.907958984375,0.3431867309570312,0.896,79.68765979260206,0.011953148968890309,0.3180123530108482,0.35513987992592155,0.13508330799959367
mnist_mlp,scratch,0,8192,32,6634,0.003,0.0003,96,3.0,24576,0.29572100937366486,0.9114990234375,0.33524429931640626,0.8966,81.8148750886321,0.012272231263294815,0.30799324063695965,0.34751653057970106,0.14647617399987212
mnist_mlp,scratch,0,8192,32,6634,0.003,0.001,32,1.0,8192,0.6752025038003922,0.8238525390625,0.6797421875,0.8284,40.857800513505936,0.02042890025675297,0.6956314040571451,0.700171087756753,0.046473411999613745
mnist_mlp,scratch,0,8192,32,6634,0.003,0.001,40,1.25,10240,0.5463477671146393,0.8477783203125,0.55577470703125,0.85,49.81995312124491,0.024909976560622455,0.5712577436752617,0.5806846835918724,0.06114526599958481
mnist_mlp,scratch,0,8192,32,6634,0.003,0.001,64,2.0,16384,0.3790271431207657,0.8909912109375,0.4050557312011719,0.8834,68.01228231936693,0.034006141159683465,0.41303328428044916,0.43906187236085537,0.09729316599987214
mnist_mlp,scratch,0,8192,32,6634,0.003,0.001,90,2.8125,23040,0.30607861280441284,0.907958984375,0.3431964050292969,0.896,79.67443335056305,0.03983721667528153,0.34591582947969435,0.3830336217045784,0.13563150699974358
mnist_mlp,scratch,0,8192,32,6634,0.003,0.001,96,3.0,24576,0.2957417890429497,0.911376953125,0.3352577026367187,0.8966,81.8005854934454,0.0409002927467227,0.33664208178967236,0.3761579953834414,0.14820806500028993
mnist_mlp,scratch,0,8192,32,6634,0.003,0.003,32,1.0,8192,0.6752925515174866,0.8238525390625,0.6798259155273437,0.8284,40.849205531179905,0.06127380829676986,0.7365663598142564,0.7410997238241136,0.04679787599980045
mnist_mlp,scratch,0,8192,32,6634,0.003,0.003,40,1.25,10240,0.5464252382516861,0.8477783203125,0.5558409790039063,0.85,49.807991713285446,0.07471198756992817,0.6211372258216142,0.6305529665738344,0.061146556000494456
mnist_mlp,scratch,0,8192,32,6634,0.003,0.003,64,2.0,16384,0.37908656150102615,0.8909912109375,0.40510628051757813,0.8834,67.98982128500938,0.10198473192751407,0.4810712934285402,0.5070910124450922,0.09815606299980573
mnist_mlp,scratch,0,8192,32,6634,0.003,0.003,90,2.8125,23040,0.30614081770181656,0.9078369140625,0.34322576904296875,0.896,79.63784823566675,0.11945677235350013,0.4255975900553167,0.4626825413964689,0.13647715200022503
mnist_mlp,scratch,0,8192,32,6634,0.003,0.003,96,3.0,24576,0.29580802470445633,0.9112548828125,0.335279345703125,0.8966,81.76090844720602,0.12264136267080904,0.4184493873752654,0.45792070837393406,0.14785609000045952
mnist_mlp,scratch,0,8192,32,6634,0.003,0.01,32,1.0,8192,0.6756227761507034,0.8238525390625,0.6801309814453125,0.8284,40.81730952113867,0.20408654760569334,0.8797093237563968,0.8842175290510058,0.04599196599974675
mnist_mlp,scratch,0,8192,32,6634,0.003,0.01,40,1.25,10240,0.5467104613780975,0.8475341796875,0.5560876831054687,0.8498,49.763747334480286,0.24881873667240142,0.7955291980504989,0.8049064197778701,0.06102818499948626
mnist_mlp,scratch,0,8192,32,6634,0.003,0.01,64,2.0,16384,0.37932609021663666,0.8907470703125,0.40517181396484375,0.8832,67.90067054331303,0.3395033527165651,0.7188294429332018,0.7446751666814089,0.09684144299990294
mnist_mlp,scratch,0,8192,32,6634,0.003,0.01,90,2.8125,23040,0.30633993446826935,0.9078369140625,0.3432539123535156,0.896,79.48942203819752,0.3974471101909876,0.7037870446592569,0.7407010225445032,0.1348116969993498
mnist_mlp,scratch,0,8192,32,6634,0.003,0.01,96,3.0,24576,0.296007975935936,0.9114990234375,0.33530477294921873,0.8962,81.59676273167133,0.4079838136583567,0.7039917895942926,0.7432885866075754,0.14724447499975213
mnist_mlp,scratch,0,8192,32,6634,0.003,0.03,32,1.0,8192,0.6765548586845398,0.823974609375,0.6809958129882813,0.8284,40.72553497552872,0.6108830246329308,1.2874378833174704,1.291878837621212,0.046797919999335136
mnist_mlp,scratch,0,8192,32,6634,0.003,0.03,40,1.25,10240,0.5475316643714905,0.8475341796875,0.5568334350585937,0.85,49.63749910145998,0.7445624865218997,1.2920941508933903,1.3013959215804936,0.06082022699956724
mnist_mlp,scratch,0,8192,32,6634,0.003,0.03,64,2.0,16384,0.37995632737874985,0.8907470703125,0.4057059265136719,0.8832,67.65675926953554,1.014851389043033,1.394807716421783,1.4205573155567048,0.09857815399936953
mnist_mlp,scratch,0,8192,32,6634,0.003,0.03,90,2.8125,23040,0.3069123923778534,0.907958984375,0.3436671203613281,0.8962,79.11938456445932,1.18679076846689,1.4937031608447433,1.530457888828218,0.13759527699949103
