family,strategy,n_train,width,params,lr,weight_decay,step,epochs,examples_seen,train_loss,train_acc,val_loss,val_acc,l2_norm_sq,regularizer_loss,train_total_loss_reported,val_total_loss_reported,train_loss_std,train_acc_std,val_loss_std,val_acc_std,l2_norm_sq_std,regularizer_loss_std,train_total_loss_reported_std,val_total_loss_reported_std,seed_count,theta_N_log2,theta_P_log2,theta_lambda_log10,h_data_per_doubling,C_data_specific_heat,h_capacity_per_doubling,C_capacity_specific_heat,h_regularization_per_decade,C_regularization_specific_heat,dominant_response
mnist_mlp,scratch,8192,32,6634,0.003,0.0,96,3.0,24576,0.29549740254879,0.9123128255208334,0.33518935546875,0.8994666666666666,83.28203814228375,0.0,0.29549740254879,0.33518935546875,0.0035355254529253876,0.0007458619295175491,0.006673223793897503,0.003817503547258811,2.9752342630058806,0.0,0.0035355254529253876,0.006673223793897503,3,13.0,12.695663296788021,,0.10212885781864905,0.038439465449549265,0.08493992873176903,0.06596855460595974,,,data-limited
mnist_mlp,scratch,8192,32,6634,0.003,1e-06,96,3.0,24576,0.29549740254879,0.9123128255208334,0.33518935546875,0.8994666666666666,83.28203814228375,4.164101907114188e-05,0.2955390435678611,0.3352309964878211,0.0035355254529253876,0.0007458619295175491,0.006673223793897503,0.003817503547258811,2.9752342630058806,1.4876171315029427e-06,0.0035341477420946553,0.006671873325570204,3,13.0,12.695663296788021,-6.0,0.10212885781864905,0.038439465449549265,0.08493992873176903,0.06596855460595974,4.5297726741777566e-07,2.648090710078198e-06,data-limited
mnist_mlp,scratch,8192,32,6634,0.003,3e-06,96,3.0,24576,0.29549740254879,0.9123128255208334,0.33518935546875,0.8994666666666666,83.28203814228375,0.00012492305721342563,0.2956223256060034,0.33531427852596346,0.0035355254529253876,0.0007458619295175672,0.006673223793897516,0.003817503547258806,2.9752342630058806,4.46285139450882e-06,0.0035313925879630185,0.0066691725640078275,3,13.0,12.695663296788021,-5.522878745280337,0.10212885781864905,0.038439465449549265,0.08493992873176903,0.06596855460595974,-4.529772675843091e-07,1.1494954424581732e-06,data-limited
mnist_mlp,scratch,8192,32,6634,0.003,1e-05,96,3.0,24576,0.2954983611901601,0.9123128255208334,0.3351898518880208,0.8994666666666666,83.2814448227485,0.0004164072241137425,0.29591476841427383,0.33560625911213454,0.0035355225157791947,0.00074586192951754,0.006673220246041761,0.0038175035472588323,2.975220758605298,1.4876103793026485e-05,0.0035217496036871834,0.006659718348200528,3,13.0,12.695663296788021,-5.0,0.10212857809476045,0.038438193972362825,0.08494019443269091,0.06596829455604991,-6.246580785407296e-07,1.6581217448715956e-06,data-limited
mnist_mlp,scratch,8192,32,6634,0.003,3e-05,96,3.0,24576,0.29549867908159894,0.9123128255208334,0.3351900085449219,0.8994666666666666,83.28126409401496,0.0012492189614102245,0.29674789804300916,0.3364392275063321,0.0035355168756625592,0.00074586192951754,0.006673220153827175,0.0038175035472588323,2.9752026351557515,4.4628039527336245e-05,0.00349422569810758,0.006632732382102423,3,13.0,12.695663296788021,-4.522878745280337,0.1021317027342255,0.03844110593710734,0.08494339944480334,0.06599064857339405,-1.9947286667987285e-06,5.324300130112425e-06,data-limited
mnist_mlp,scratch,8192,32,6634,0.003,0.0001,96,3.0,24576,0.2954995930194855,0.9123128255208334,0.3351920064290364,0.8994,83.2795551692446,0.004163977758462231,0.29966357077794775,0.3393559841874987,0.0035373417231526504,0.0007458619295175672,0.006672063700785624,0.003704051835490407,2.974674365636703,0.000148733718281835,0.0034000405862684093,0.0065373434516396035,3,13.0,12.695663296788021,-4.0,0.102134335539938,0.03848684912512529,0.08494709147936547,0.06599559546307562,-6.18418637426954e-06,1.616007486975922e-05,data-limited
mnist_mlp,scratch,8192,32,6634,0.003,0.0003,96,3.0,24576,0.2955065642793973,0.9123128255208334,0.33519598592122396,0.8994,83.27551530053218,0.012491327295079827,0.30799789157447716,0.3476873132163038,0.0035378351015864003,0.0007458619295175672,0.006672686722684224,0.003704051835490407,2.9744882344461856,0.00044617323516692837,0.0031291427752678817,0.0062704829680148445,3,13.0,12.695663296788021,-3.5228787452803374,0.10214527122184952,0.03851764604967442,0.08494990451859968,0.0659935288833326,-1.744178535473262e-05,3.5740152994857025e-05,data-limited
mnist_mlp,scratch,8192,32,6634,0.003,0.001,96,3.0,24576,0.2955298547943433,0.9122721354166666,0.3352103210449218,0.8994,83.26144178460042,0.04163072089230021,0.33716057568664354,0.37684104193722207,0.003539191131041414,0.0008127841941503283,0.006674061079910721,0.0037040518354904176,2.973902308718759,0.0014869511543593795,0.0022343247953481053,0.005360980849331259,3,13.0,12.695663296788021,-3.0,0.101998416223186,0.03792877210481545,0.08494870196154436,0.06595316753400651,-4.3089114790340055e-05,5.7470703125144923e-05,data-limited
mnist_mlp,scratch,8192,32,6634,0.003,0.003,96,3.0,24576,0.29561155537764233,0.9123128255208334,0.3352377034505209,0.8992,83.22051272789638,0.12483076909184458,0.42044232446948687,0.4600684725423654,0.003512828697239642,0.0009243014885742535,0.006648462067460441,0.003994996871087661,2.97380891086031,0.004460713366290471,0.001805175825088173,0.003205519353476746,3,13.0,12.695663296788021,-2.5228787452803374,0.10175546813652381,0.03735044744122948,0.08502061642776154,0.06622060540434113,-7.417560801731282e-05,0.00039084269205720356,data-limited
mnist_mlp,scratch,8192,32,6634,0.003,0.01,96,3.0,24576,0.29579684138298035,0.9124755859375,0.3352861063639323,0.8988,83.06549743562937,0.4153274871781469,0.7111243285611272,0.7506135935420791,0.003552399671242179,0.0008544921875,0.006684501359087472,0.0035156791662493856,2.9579254219997315,0.01478962710999867,0.011588212264448335,0.00920340114779422,3,13.0,12.695663296788021,-2.0,0.10168737447346005,0.037666550223065406,0.08480233992520603,0.06566001961343851,-0.00046516639167992757,0.0011019675787539082,data-limited
