n_train,lr,weight_decay,x_low,x_high,capacity_pressure,loss_low,loss_high
8192,0.003,0.0,6634.0,53002.0,0.04617314057436847,0.33518935546875,0.23923594970703124
8192,0.003,1e-06,6634.0,53002.0,0.04617314057436847,0.33518935546875,0.23923594970703124
8192,0.003,3e-06,6634.0,53002.0,0.04617314057436847,0.33518935546875,0.23923594970703124
8192,0.003,1e-05,6634.0,53002.0,0.04617346560621164,0.3351898518880208,0.23923577067057292
8192,0.003,3e-05,6634.0,53002.0,0.04617321057369618,0.3351900085449219,0.2392364573160807
8192,0.003,0.0001,6634.0,53002.0,0.04617364329681266,0.3351920064290364,0.2392375559488932
8192,0.003,0.0003,6634.0,53002.0,0.0461782769586012,0.33519598592122396,0.2392319061279297
8192,0.003,0.001,6634.0,53002.0,0.04618983125321945,0.3352103210449218,0.23922223002115883
8192,0.003,0.003,6634.0,53002.0,0.04619859340682341,0.3352377034505209,0.23923140360514325
8192,0.003,0.01,6634.0,53002.0,0.04625585285686057,0.3352861063639323,0.2391608144124349
8192,0.003,0.03,6634.0,53002.0,0.046546160138461086,0.33567026367187497,0.23894167785644535
11585,0.003,0.0,6634.0,53002.0,0.04060695214811736,0.28865908711751304,0.2042728983561198
11585,0.003,1e-06,6634.0,53002.0,0.04060695214811736,0.28865908711751304,0.2042728983561198
11585,0.003,3e-06,6634.0,53002.0,0.04060695214811736,0.28865908711751304,0.2042728983561198
11585,0.003,1e-05,6634.0,53002.0,0.04060809318610902,0.28865960998535156,0.20427105000813803
11585,0.003,3e-05,6634.0,53002.0,0.04061176496902429,0.28865974731445315,0.20426355692545572
11585,0.003,0.0001,6634.0,53002.0,0.04061121427501285,0.28866075744628905,0.20426571146647135
11585,0.003,0.0003,6634.0,53002.0,0.04060793507573954,0.2886593963623047,0.20427116495768227
11585,0.003,0.001,6634.0,53002.0,0.04067424940384179,0.2886982737223307,0.20417223307291665
11585,0.003,0.003,6634.0,53002.0,0.04075347053105439,0.28879646606445314,0.20410579427083334
11585,0.003,0.01,6634.0,53002.0,0.0407725255228611,0.28888724365234375,0.20415697326660154
11585,0.003,0.03,6634.0,53002.0,0.04107647875731174,0.2892687744140625,0.20390685221354166
16384,0.003,0.0,6634.0,53002.0,0.03538587607148331,0.251187201944987,0.1776510447184245
16384,0.003,1e-06,6634.0,53002.0,0.03538587607148331,0.251187201944987,0.1776510447184245
16384,0.003,3e-06,6634.0,53002.0,0.03538587607148331,0.251187201944987,0.1776510447184245
16384,0.003,1e-05,6634.0,53002.0,0.035388808211152985,0.2511875244140625,0.17764527384440107
16384,0.003,3e-05,6634.0,53002.0,0.035396841001132905,0.2511907287597656,0.1776317850748698
16384,0.003,0.0001,6634.0,53002.0,0.035392391883026425,0.2511914082845052,0.17764171040852864
16384,0.003,0.0003,6634.0,53002.0,0.035357810257132416,0.2511849599202474,0.1777071268717448
16384,0.003,0.001,6634.0,53002.0,0.035340456787444546,0.25115060323079424,0.17770883280436198
16384,0.003,0.003,6634.0,53002.0,0.03536915063772136,0.2512182820638021,0.17771688232421876
16384,0.003,0.01,6634.0,53002.0,0.03554591166724819,0.25136810201009113,0.17749937133789062
16384,0.003,0.03,6634.0,53002.0,0.03569194201291466,0.25162111918131513,0.17744891967773438
23170,0.003,0.0,6634.0,53002.0,0.02943568357125842,0.22059650878906248,0.15942557576497396
23170,0.003,1e-06,6634.0,53002.0,0.02943568357125842,0.22059650878906248,0.15942557576497396
23170,0.003,3e-06,6634.0,53002.0,0.02943568357125842,0.22059650878906248,0.15942557576497396
23170,0.003,1e-05,6634.0,53002.0,0.029435405042465092,0.22059676818847654,0.15942641398111979
23170,0.003,3e-05,6634.0,53002.0,0.029475068227943598,0.2206155578613281,0.15936277872721352
23170,0.003,0.0001,6634.0,53002.0,0.02948911753356292,0.22057344970703122,0.15929147440592448
23170,0.003,0.0003,6634.0,53002.0,0.029370634126112176,0.22053238728841149,0.15949663492838542
23170,0.003,0.001,6634.0,53002.0,0.02943706569085063,0.22052481791178383,0.15935101267496746
23170,0.003,0.003,6634.0,53002.0,0.029354646867078414,0.22063368835449218,0.15963115946451822
23170,0.003,0.01,6634.0,53002.0,0.029561426349544197,0.22060974833170574,0.15917750651041665
23170,0.003,0.03,6634.0,53002.0,0.030038985748718466,0.22086632080078125,0.1584416524251302
32768,0.003,0.0,6634.0,53002.0,0.02588316433568218,0.19546814473470053,0.14167977905273438
32768,0.003,1e-06,6634.0,53002.0,0.02588316433568218,0.19546814473470053,0.14167977905273438
32768,0.003,3e-06,6634.0,53002.0,0.02588316433568218,0.19546814473470053,0.14167977905273438
32768,0.003,1e-05,6634.0,53002.0,0.025878963641763075,0.1954483123779297,0.1416686762491862
32768,0.003,3e-05,6634.0,53002.0,0.025858779849609412,0.1954387888590495,0.1417010971069336
32768,0.003,0.0001,6634.0,53002.0,0.025910582289122734,0.19542885437011717,0.14158351084391277
32768,0.003,0.0003,6634.0,53002.0,0.026601268837067774,0.19549714864095055,0.14021647440592447
32768,0.003,0.001,6634.0,53002.0,0.02626136262625821,0.19562553405761718,0.14105122629801434
32768,0.003,0.003,6634.0,53002.0,0.026429712477831078,0.19548052978515626,0.1405563705444336
32768,0.003,0.01,6634.0,53002.0,0.026519477804468543,0.19539163513183597,0.14028093261718752
32768,0.003,0.03,6634.0,53002.0,0.026879589345686416,0.19584639078776042,0.1399873326619466
46341,0.003,0.0,6634.0,53002.0,0.018441542419008597,0.1657482940673828,0.12742452443440755
46341,0.003,1e-06,6634.0,53002.0,0.018441542419008597,0.1657482940673828,0.12742452443440755
46341,0.003,3e-06,6634.0,53002.0,0.018441542419008597,0.1657482940673828,0.12742452443440755
46341,0.003,1e-05,6634.0,53002.0,0.01898414783678862,0.1658080088297526,0.1263566390991211
46341,0.003,3e-05,6634.0,53002.0,0.01881900914318458,0.16574594217936198,0.12663775075276693
46341,0.003,0.0001,6634.0,53002.0,0.01895362617189969,0.16580960896809896,0.12642166697184246
46341,0.003,0.0003,6634.0,53002.0,0.01926449906016849,0.16566759643554688,0.12563362274169923
46341,0.003,0.001,6634.0,53002.0,0.018694224572478692,0.1650242991129557,0.12617542521158853
46341,0.003,0.003,6634.0,53002.0,0.019166355352464845,0.16502472025553386,0.1251947011311849
46341,0.003,0.01,6634.0,53002.0,0.018230316021212393,0.16493839721679687,0.12705358174641926
46341,0.003,0.03,6634.0,53002.0,0.019527561673377405,0.16525125630696613,0.1246706064860026
50000,0.003,0.0,6634.0,53002.0,0.01909945410692283,0.16338475748697914,0.12369376729329427
50000,0.003,1e-06,6634.0,53002.0,0.01909945410692283,0.16338475748697914,0.12369376729329427
50000,0.003,3e-06,6634.0,53002.0,0.01909945410692283,0.16338475748697914,0.12369376729329427
50000,0.003,1e-05,6634.0,53002.0,0.019079854539927076,0.16330287577311198,0.1236526158650716
50000,0.003,3e-05,6634.0,53002.0,0.01890647477163036,0.16327066955566408,0.12398071390787761
50000,0.003,0.0001,6634.0,53002.0,0.01999755502634056,0.16328397928873697,0.12172662607828777
50000,0.003,0.0003,6634.0,53002.0,0.019803287556567153,0.16330723368326824,0.12215359191894531
50000,0.003,0.001,6634.0,53002.0,0.018903196306615706,0.163115234375,0.12383209177652994
50000,0.003,0.003,6634.0,53002.0,0.0206761475995361,0.1633760091145833,0.12040845794677735
50000,0.003,0.01,6634.0,53002.0,0.020546890903951707,0.1633857899983724,0.12068684997558594
50000,0.003,0.03,6634.0,53002.0,0.019730121615951224,0.16345995381673176,0.12245835978190105
