weight_decay,median_C_regularization,median_h_regularization,median_val_loss
1e-06,4.401641732970167e-05,1.735794036838989e-07,0.17680169372558593
3e-06,2.5030517578217484e-05,-1.735794037949212e-07,0.17680169372558593
1e-05,3.7234497070263235e-05,-5.891282096603945e-07,0.1767966135660807
3e-05,4.078369140625696e-05,-1.754987734609026e-06,0.17680271301269532
0.0001,8.005523681644657e-05,5.046735465863428e-06,0.17672449137369792
0.0003,7.497863769533345e-05,2.4311753244188328e-06,0.17678968302408857
0.001,0.00021201680501302888,-2.6222360764438513e-06,0.1767616943359375
0.003,0.0002892232259115351,5.001135712418003e-06,0.17674122212727864
0.01,0.0005840655663964565,-0.0001047085473362408,0.17701091410319011
0.03,0.0010046432336562982,-0.00013621029970400933,0.1768819040934245
